ser_csf_norm,ser_gm_norm,ser_wm_norm
0.6592520216051551,0.6906487351259849,0.5928500521889886
0.605534919562755,0.5938218104700873,0.6076337489238902
0.6764762226839565,0.5595982376855869,0.5694098458289022
0.4131240087390542,0.4078662828091089,0.33429352018750436
0.49922395605597497,0.5908163271639456,0.41681200812113756
0.3464699668065067,0.3903036586985148,0.20515630234270488
0.47727860259276966,0.3606035537175844,0.26391146507483754
0.6587713452005144,0.4488119688075953,0.5058495921630872
0.6529638902089383,0.6978034894658868,0.610698184024088
0.6539973656381546,0.7808457313273065,0.5253793226659768
0.6432087108656138,0.5410361940529619,0.4832113050693643
0.4600951367171412,0.4375614235213996,0.3999177847059129
0.38031994176418304,0.40396675198862586,0.40551441317090253
0.687961870175492,0.5109843993737235,0.5087288334598428
0.5118081102615222,0.589067124763983,0.4977216709043726
0.41436199334296026,0.4027693263314485,0.42079576179540246
0.60483645313753,0.4571495787371531,0.47288225446043863
0.46803472441339733,0.5439133913904661,0.5506623831054658
0.6494565625537403,0.5887752529752484,0.6777805671797019
0.729847550608781,0.5873237775794925,0.6024204478873911
0.4272294400585936,0.4668085587568795,0.4589293258610549
0.5696101317056725,0.45850069259429793,0.5249418439578714
0.5437510525239522,0.4484716214683989,0.46808968671970863
0.7211886512943351,0.6707827885560144,0.7352554326509831
0.6985224212478135,0.7498520659820453,0.7204215068699484
0.6668663003992782,0.644438608129971,0.6875119566489554
0.7463125570509138,0.5425254420044122,0.6302539156652389
0.6486840606776066,0.49026805626597614,0.6186903643027615
0.7224004104758492,0.7126191734660738,0.7086382221320996
0.648117161161553,0.6591295502817873,0.6096171293848451
0.6008798966311704,0.5936717058545269,0.5183418982699951
0.7424539658370645,0.6459172793938601,0.6296026138560168
0.7096958201676512,0.6848599617556752,0.8025970586743851
0.8781673373387441,0.8420013278328314,0.8876071899628079
0.936707581642441,0.6583089339871339,0.7458046653594866
0.4654397994382679,0.39320241140299406,0.48457104721020106
0.5673959365256951,0.3700406286003192,0.5791733888287323
0.763889481280321,0.4314001439379246,0.713317016924588
0.6629735921729552,0.4781557785130947,0.6266340883378535
0.6161273548046612,0.6853347624942592,0.6646007743026583
0.6239457512344209,0.6693325028465694,0.6217774301285639
